FID,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-157d,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,2.2,ug.m-3,mensuelle,2018/07/01 00:00,2018/07/31 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-157c,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,1.6,ug.m-3,mensuelle,2018/08/01 00:00,2018/08/31 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-157b,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,1.5,ug.m-3,mensuelle,2018/09/01 00:00,2018/09/30 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-157a,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,1.2,ug.m-3,mensuelle,2018/10/01 00:00,2018/10/31 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1579,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,1.3,ug.m-3,mensuelle,2018/11/01 00:00,2018/11/30 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1578,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,1.6,ug.m-3,mensuelle,2018/12/01 00:00,2018/12/31 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1577,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,1,ug.m-3,mensuelle,2019/01/01 00:00,2019/01/31 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1576,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,1.4,ug.m-3,mensuelle,2019/02/01 00:00,2019/02/28 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1575,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,2,ug.m-3,mensuelle,2019/03/01 00:00,2019/03/31 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1574,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,1.2,ug.m-3,mensuelle,2019/04/01 00:00,2019/04/30 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1573,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,1.1,ug.m-3,mensuelle,2019/05/01 00:00,2019/05/31 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1572,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,1.7,ug.m-3,mensuelle,2019/06/01 00:00,2019/06/30 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1571,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,1.9,ug.m-3,mensuelle,2019/07/01 00:00,2019/07/31 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1570,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,1.4,ug.m-3,mensuelle,2019/08/01 00:00,2019/08/31 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-156f,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,1.1,ug.m-3,mensuelle,2019/09/01 00:00,2019/09/30 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-156e,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,,ug.m-3,mensuelle,2019/10/01 00:00,2019/10/31 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-156d,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,0.4,ug.m-3,mensuelle,2019/11/01 00:00,2019/11/30 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-156c,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,0.7,ug.m-3,mensuelle,2019/12/01 00:00,2019/12/31 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-156b,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,0.8,ug.m-3,mensuelle,2020/01/01 00:00,2020/01/31 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-156a,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,0.9,ug.m-3,mensuelle,2020/02/01 00:00,2020/02/29 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1569,BOUCHES-DU-RHONE,Châteauneuf-les-Martigues,13026,Chateauneuf,FR02003,Périurbaine,industrielle,Dioxyde de soufre,1,0.9,ug.m-3,mensuelle,2020/03/01 00:00,2020/03/31 23:59,true,875092.5046692,6256582.50181489
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1568,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,106.1,ug.m-3,mensuelle,2018/07/01 00:00,2018/07/31 23:59,true,865498.27972037,6259645.8744532
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1567,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,92.2,ug.m-3,mensuelle,2018/08/01 00:00,2018/08/31 23:59,true,865498.27972037,6259645.8744532
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1566,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,87.5,ug.m-3,mensuelle,2018/09/01 00:00,2018/09/30 23:59,true,865498.27972037,6259645.8744532
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1565,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,66.3,ug.m-3,mensuelle,2018/10/01 00:00,2018/10/31 23:59,true,865498.27972037,6259645.8744532
